"naf_rev1","naf_rev2"
"518A","4662Z"
"518C","4663Z"
"518E","4664Z"
"518G","4651Z"
"518H","4665Z"
"518J","4652Z"
"518L","4669A"
"518M","4669B"
"518N","4669C"
"518P","4661Z"
"519A","4690Z"
"519B","4690Z"
"521A","4711A"
"521B","4711B"
"521C","4711C"
"521D","4711D"
"521E","4711E"
"521F","4711F"
"521H","4719A"
"521J","4719B"
"522A","4721Z"
"522C","4722Z"
"522E","4723Z"
"522G","4724Z"
"522J","4725Z"
"522L","4726Z"
"522N","4729Z"
"522P","4729Z"
"523A","4773Z"
"523C","4774Z"
"523E","4775Z"
"524A","4751Z"
"524C","4771Z"
"524E","4772A"
"524F","4772B"
"524H","4759A"
"524J","4759B"
"524L","4743Z"
"524N","4752A"
"524P","4752B"
"524R","4762Z"
"524T","4778A"
"524U","4753Z"
"524V","4777Z"
"524W","4764Z"
"524X","4776Z"
"524Y","4778B"
"524Z","4741Z"
"525Z","4779Z"
"526A","4791A"
"526B","4791B"
"526D","4781Z"
"526E","4782Z"
"526G","4799A"
"526H","4799B"
"527A","9523Z"
"527C","9521Z"
"527D","9522Z"
"527F","9525Z"
"527H","9529Z"
"551A","5510Z"
"551C","5510Z"
"551E","5510Z"
"552A","5520Z"
"552C","5530Z"
"552E","5520Z"
"552F","5590Z"
"553A","5610A"
"553B","5610C"
"554A","5630Z"
"554B","5630Z"
"554C","5630Z"
"555A","5629B"
"555C","5629A"
"555D","5621Z"
"601Z","4910Z"
"602A","4931Z"
"602B","4939A"
"602C","4939C"
"602E","4932Z"
"602G","4939B"
"602L","4941B"
"602M","4941A"
"602N","4942Z"
"602P","4941C"
"603Z","4950Z"
"611A","5010Z"
"611B","5010Z"
"612Z","5030Z"
"621Z","5110Z"
"622Z","5110Z"
"623Z","5122Z"
"631A","5224A"
"631B","5224B"
"631D","5210A"
"631E","5210B"
"632A","5221Z"
"632C","5222Z"
"632E","5223Z"
"633Z","7911Z"
"634A","5229A"
"634B","5229B"
"634C","5229B"
"641A","5310Z"
"641C","5320Z"
"642C","6110Z"
"642D","6110Z"
"651A","6411Z"
"651C","6419Z"
"651D","6419Z"
"651E","6419Z"
"651F","6419Z"
"652A","6491Z"
"652C","6492Z"
"652E","6420Z"
"652F","6499Z"
"660A","6511Z"
"660C","6520Z"
"660E","6512Z"
"660F","6520Z"
"660G","6512Z"
"671A","6611Z"
"671C","6612Z"
"671E","6619B"
"672Z","6621Z"
"701A","4110A"
"701B","4110B"
"701C","4110C"
"701D","4110D"
"701F","6810Z"
"702A","6820A"
"702B","6820B"
"702C","6820B"
"703A","6831Z"
"703C","6832A"
"703D","6832A"
"703E","6619A"
"711A","7711A"
"711B","7711B"
"712A","7712Z"
"712C","7734Z"
"712E","7735Z"
"713A","7731Z"
"713C","7732Z"
"713E","7733Z"
"713G","7739Z"
"714A","7729Z"
"714B","7721Z"
"721Z","6202A"
"722A","5821Z"
"722C","6201Z"
"723Z","6203Z"
"724Z","6312Z"
"725Z","6209Z"
"726Z","6209Z"
"731Z","7211Z"
"732Z","7220Z"
"741A","6910Z"
"741C","6920Z"
"741E","7320Z"
"741G","0240Z"
"741J","6420Z"
"742A","7111Z"
"742B","7112A"
"742C","7112B"
"743A","7120A"
"743B","7120B"
"744A","7312Z"
"744B","7311Z"
"745A","7810Z"
"745B","7820Z"
"746Z","7490B"
"747Z","8121Z"
"748A","7420Z"
"748B","7420Z"
"748D","8292Z"
"748F","7430Z"
"748G","8219Z"
"748H","8220Z"
"748J","8230Z"
"748K","4779Z"
"751A","8411Z"
"751C","8412Z"
"751E","8413Z"
"751G","8411Z"
"752A","8421Z"
"752C","8422Z"
"752E","8423Z"
"752G","8424Z"
"752J","8425Z"
"753A","8430A"
"753B","8430B"
"753C","8430C"
"801Z","8510Z"
"802A","8531Z"
"802C","8532Z"
"803Z","8541Z"
"804A","8553Z"
"804C","8559A"
"804D","8552Z"
"851A","8610Z"
"851C","8621Z"
"851E","8623Z"
"851G","8690D"
"851H","8690F"
"851J","8690A"
"851K","8690B"
"851L","8690C"
"852Z","7500Z"
"853A","8710B"
"853B","8710B"
"853C","8710C"
"853D","8730A"
"853E","8790B"
"853G","8891A"
"853H","8810C"
"853J","8810A"
"853K","8899A"
"900A","3700Z"
"900B","3811Z"
"900E","3812Z"
"900G","3900Z"
"911A","9411Z"
"911C","9412Z"
"912Z","9420Z"
"913A","9491Z"
"913C","9492Z"
"913E","9499Z"
"921A","5911A"
"921B","5911B"
"921C","5911C"
"921D","5912Z"
"921F","5913A"
"921G","5913B"
"921J","5914Z"
"922A","6010Z"
"922B","5911A"
"922D","6020A"
"922E","6020B"
"922F","6110Z"
"923A","9001Z"
"923B","9002Z"
"923D","9004Z"
"923F","9321Z"
"923K","9001Z"
"924Z","6391Z"
"925A","9101Z"
"925C","9102Z"
"925E","9104Z"
"926A","9311Z"
"926C","7990Z"
"927A","9200Z"
"927C","9329Z"
"930A","9601A"
"930B","9601B"
"930D","9602A"
"930E","9602B"
"930G","9603Z"
"930H","9603Z"
"930K","9604Z"
"930L","9604Z"
"930N","9609Z"
"950Z","9700Z"
"960Z","9810Z"
"970Z","9820Z"
"990Z","9900Z"
"271Z","24XXX"
"273J","24XXX"
"282A","25XXX"
"282B","25XXX"
"287M","25XXX"
"287P","25XXX"
"291C","28XXX"
"293B","28XXX"
"295C","28XXX"
"295F","28XXX"
"321B","26XXX"
